word,phonetic,translation,exchange,derivatives,collins,frq,tag
enforceable,in'fɔ: sәbl,"a. 可实施的, 可强行的",,,,18941,
enforced,in'fɔ:sid,a. 强制执行的；实施的,0:enforce/1:dp/d:enforced/p:enforced,,,17291,
enforcement,in'fɒ:smәnt,"n. 执行, 强制 / [法] 实施, 加强, 厉行",s:enforcements,enforcements,,2288,
enforcer,,"n. 实施者, 强制者 / [计] 监视程序",s:enforcers,enforcers,,16901,
engage,in'geidʒ,"vi. 答应, 从事, 交战 / vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加",d:engaged/p:engaged/i:engaging/3:engages,"engaged,engagement,engager,engages,engaging",3,1387,cet4 cet6 ky toefl ielts
engaged,in'geidʒd,"a. 忙碌的, 使用中的",0:engage/1:dp/d:engaged/p:engaged,"engagedly,engagedness",2,10128,gre
engagement,in'geidʒdmәnt,"n. 诺言, 约会, 婚约, 交战 / [医] 衔接",s:engagements,engagements,2,3812,cet6 ky ielts
engaging,in'geidʒiŋ,"a. 动人的, 迷人的, 有魅力的",0:engage/1:i/i:engaging,engagingly,1,10067,toefl gre
engender,in'dʒendә,"vt. 产生, 引起 / vi. 发生, 形成",d:engendered/3:engenders/p:engendered/i:engendering,"engendered,engendering,engenders",1,9295,toefl gre
engine,'endʒin,"n. 引擎, 发动机, 机车 / vt. 安装发动机于",s:engines/p:engined,"engined,engineer,engineless,enginer,engines,engining,enginous",4,1569,gk cet4 cet6 ky ielts
engineer,.endʒi'niә,"n. 工程师, 工兵 / vt. 设计, 监造, 精明地处理, 策划",s:engineers/d:engineered/p:engineered/i:engineering/3:engineers,"engineered,engineering,engineers,engineership",3,1997,zk gk cet4 cet6 ky ielts
engineered,,"a. 设计的, 工程",0:engineer/1:dp/d:engineered/p:engineered,,,12365,
engineering,.endʒi'niәriŋ,"n. 工程学, 工程, 操纵 / [化] 机器; 机器学",i:engineering/0:engineering/1:i,,3,2385,cet4 cet6 ky ielts
engineers,,n. 工程师；机械师（engineer的复数）,1:s3/0:engineer,,,0,ielts
England,'iŋglәnd,"n. 英格兰 / [法] 英格兰, 英国",,englander,,0,zk ielts
English,'iŋgliʃ,"n. 英语 / a. 英文的, 英国人的",,"englished,englisher,englishing,englishism,englishize,englishment,englishness",,1782,zk gk
Englishman,'iŋgliʃmәn,n. 英国人,s:englishmen,,,10271,cet4
engrave,in'greiv,"vt. 刻上, 雕刻, 铭记",d:engraved/p:engraved/i:engraving/s:engraves/3:engraves,"engraved,engraver,engraves,engraving",1,12280,toefl ielts gre
engraved,inˈɡreivd,"v. 在（硬物）上雕刻（字, 画等）( engrave的过去式和过去分词 ); 将某事物深深印在（记忆或头脑中）",0:engrave/1:dp/d:engraved/p:engraved,,,19020,
engraver,in'greivә,"n. 雕刻师, 雕工",s:engravers,engravers,,24885,
engraving,in'greiviŋ,"n. 雕刻, 镌版术, 雕版",0:engrave/1:i/s:engravings/i:engraving,engravings,,12231,toefl
engross,in'grәus,"vt. 用大字体书写, 独占(市场), 使全神贯注 / [法] 正式誊写, 以大字写, 囤积",d:engrossed/p:engrossed/i:engrossing/3:engrosses,"engrossed,engrosser,engrosses,engrossing,engrossment",,16062,toefl ielts gre
engrossment,in'^rәjsmәnt,"n. 正式缮写的文件,专注",s:engrossments,engrossments,,0,gre
engulf,in'gʌlf,"vt. 卷入, 吸进, 吞没, 使全神贯注",p:engulfed/d:engulfed/i:engulfing/3:engulfs,"engulfed,engulfing,engulfment,engulfs",1,9563,toefl gre
enhance,in'hæns,"vt. 提高, 加强, 增加",d:enhanced/i:enhancing/3:enhances/p:enhanced,"enhanced,enhancement,enhancer,enhances,enhancing,enhancive",3,2331,cet4 cet6 ky toefl ielts gre
enhanced,in'hɑ:nst. -'hænst,a. 增大的；加强的,0:enhance/1:dp/d:enhanced/p:enhanced,,,7610,
enhancement,in'hɑ:nsmәnt,"n. 提高, 美化, 增进, 增强, 增加 / [计] 增强, 加强, 提高, 充实",s:enhancements,enhancements,,7849,
enhancer,in'hɑ:nsә,[化] 增强子,s:enhancers,enhancers,,21264,
enigma,i'nigmә,"n. 谜, 费解的事物",s:enigmas,enigmas,1,14247,toefl
enigmatic,.enig'mætik,"a. 费解的, 谜一般的, 高深莫测的",,enigmatical,1,11873,toefl
enigmatically,ˌenɪɡ'mætɪklɪ,"adv. 莫名其妙地, 难以理解地",,,,31741,
enjoin,in'dʒɒin,"vt. 吩咐, 命令, 嘱咐, 禁止 / [法] 责成, 命令, 嘱咐",p:enjoined/d:enjoined/3:enjoins/i:enjoining,"enjoined,enjoiner,enjoining,enjoinment,enjoins",,19159,gre
enjoy,in'dʒɒi,"vt. 享受, 喜欢, 欣赏 / [法] 享受, 享有, 获得某种利益",p:enjoyed/i:enjoying/d:enjoyed/3:enjoys,"enjoyable,enjoyed,enjoyer,enjoying,enjoyment,enjoys",4,881,zk gk
enjoyable,in'dʒɒiәbl,"a. 可从中得到乐趣的, 令人愉快的",,enjoyableness,2,9019,gk
enjoyment,in'dʒɒimәnt,"n. 享乐, 快乐, 享受 / [经] 使用权",s:enjoyments,enjoyments,1,7629,
enlarge,in'lɑ:dʒ,"vt. 扩大, 增大 / vi. 扩大, 详述",d:enlarged/i:enlarging/p:enlarged/3:enlarges/s:enlarges,"enlargeable,enlarged,enlargement,enlarger,enlarges,enlarging,enlargment",2,7530,gk cet4 cet6 ky
enlarged,inˈlɑ:dʒd,v. 扩大( enlarge的过去式和过去分词 ); 扩展; 扩充; 放大,0:enlarge/1:dp/d:enlarged/p:enlarged,,,13765,
enlargement,in'lɑ:dʒmәnt,"n. 扩大, 肿大, 肥大, 增大, 放大的照片, 放大, 扩建部分, 增补物, 扩展 / [计] 增补, 扩大, 放大",s:enlargements,enlargements,,13723,
enlarger,in'lɑ:dʒә,"n. 放大机, 扩大者, 详述者",s:enlargers,enlargers,,33262,
enlighten,in'laitn,"vt. 教育, 启发, 启蒙, 开导, 教导",i:enlightening/d:enlightened/p:enlightened/3:enlightens,"enlightened,enlightener,enlightening,enlightenment,enlightens",1,11536,cet6 ky toefl ielts gre
enlightened,in'laitnd,"a. 有知识的, 进步的, 文明的",d:enlightened/0:enlightened/1:dp/p:enlightened,,1,10398,
enlightening,,"a. 有启发作用的, 使人领悟的",0:enlighten/1:i/i:enlightening,,,27028,gre
enlightenment,in'laitmәnt,"n. 启迪, 教化",s:enlightenments,enlightenments,1,11067,toefl
enlist,in'list,"vt. 征募, 参与, 谋取 / vi. 从军, 应募, 赞助",p:enlisted/d:enlisted/i:enlisting/3:enlists,"enlisted,enlister,enlisting,enlistment,enlists",1,5254,ky toefl gre
enlistee,"in,lis'ti:","n. 征募者,士兵(男或女)",,,,29839,
enlistment,in'listmәnt,"n. 征募, 服役期限",s:enlistments,enlistments,,19063,
enliven,in'laivn,"vt. 使活泼, 使生动",d:enlivened/p:enlivened/3:enlivens/i:enlivening,"enlivened,enlivener,enlivening,enlivens",1,15255,gre
enmesh,in'meʃ,"vt. 使绊住, 使陷入",d:enmeshed/p:enmeshed/i:enmeshing/3:enmeshes,"enmeshed,enmeshes,enmeshing,enmeshment",,20263,gre
enmity,'enmәti,"n. 敌意, 憎恨",s:enmities,enmities,,17158,toefl gre
ennoble,i'nәubl,"vt. 授予爵位, 使高贵",d:ennobled/p:ennobled/i:ennobling/s:ennobles/3:ennobles,"ennobled,ennoblement,ennobler,ennobles,ennobling",,25832,gre
ennui,'ɒnwi:,"n. 倦怠, 厌倦 / [医] 厌倦",,,,24297,toefl gre
enormity,i'nɒ:miti,"n. 暴行, 极恶, 巨大 / [法] 重罪, 大罪, 暴行",s:enormities,enormities,,15686,toefl gre
enormous,i'nɒ:mәs,"a. 巨大的, 庞大的",,"enormously,enormousness",3,1994,cet4 cet6 ky toefl ielts gre
enormously,i'nɒ:mәsli,"adv. 非常地, 巨大地",,,,7412,
enough,i'nʌf,"n. 充足, 够, 很多 / a. 充足的, 足够 / adv. 足够 / interj. 够了",,,5,374,zk gk
enquire,in'kwaiә,v. 询问,p:enquired/i:enquiring/d:enquired/3:enquires,"enquired,enquirer,enquires,enquiring",,29201,ky ielts
enquirer,,n. 寻问者；追究者,s:enquirers,enquirers,,13831,
enquiry,in'kwaiәri,"n. 询问 / [经] 询价, 询盘",s:enquiries,enquiries,,24159,gk ielts
enrage,in'reidʒ,"vt. 激怒, 使暴怒",d:enraged/p:enraged/i:enraging/3:enrages,"enraged,enragement,enrages,enraging",1,12957,toefl gre
enraged,enˈreɪdʒd,v. 使暴怒( enrage的过去式和过去分词 ); 歜; 激愤,0:enrage/1:dp/d:enraged/p:enraged,,,16588,
enrapture,in'ræptʃә,vt. 使狂喜,d:enraptured/p:enraptured/i:enrapturing/3:enraptures,"enraptured,enraptures,enrapturing",,26757,toefl gre
enraptured,ɪnˈræptʃəd,v. 使狂喜( enrapture的过去式和过去分词 ),0:enrapture/1:dp/d:enraptured,,,32820,
enrich,in'ritʃ,"vt. 使富足, 使肥沃",d:enriched/i:enriching/3:enriches/p:enriched,"enriched,enricher,enriches,enriching,enrichment",1,6879,cet6 ky toefl ielts
enriched,in'ritʃt,a. 浓缩的；强化的,0:enrich/1:dp/d:enriched/p:enriched,,,15030,
enriching,inˈritʃɪŋ,v. 使富有( enrich的现在分词 ); 使富裕; 充实; 使丰富,0:enrich/1:i/i:enriching,,,20693,
enrichment,in'ritʃmәnt,"n. 丰富, 肥沃 / [化] 富集",s:enrichments,enrichments,,10003,
enrol,in'rәul,"vt. 登记, 使加入 / vi. 参军, 注册",d:enrolled/p:enrolled/i:enrolling/3:enrols,"enrolled,enrolling,enrolment,enrols",1,0,
enroll,in'rәul,"vt. 登记, 使加入 / vi. 参军, 注册",i:enrolling/p:enrolled/3:enrols/d:enrolled,"enrolled,enroller,enrolling,enrollment,enrolls",,3994,cet4 cet6 ky toefl ielts
enrolled,,v. 登记（入会；卷）,0:enrol/1:dp/p:enrolled/d:enrolled,,,27660,
enrollee,"in,rәu'li:","n. 被征入伍者, 入会者, 入学者",,,,23078,
enrollment,in'rәulmәnt,"n. 登记, 注册, 入伍 / [经] 登记, 注册",,,,6365,ielts
enrolment,in'rәulmәnt,"n. 登记, 注册, 入伍, 入学, 入会, 注册人数, 入学人数",s:enrolments,enrolments,,0,ielts
ensconce,in'skɒns,"vt. 安顿下来, 安置, 使隐藏",d:ensconced/p:ensconced/i:ensconcing/3:ensconces,"ensconced,ensconces,ensconcing",,0,gre
ensconced,enˈskɔnst,"a. 安置好的, 安居的 / v. 舒服地坐[躺着]( ensconce的过去式和过去分词 )",0:ensconce/1:dp,,,17749,
ensemble,ɒn'sɒŋblә,"n. 全体, 合唱曲, (女人的)全套服装 / [化] 总体; 整体; 系综",s:ensembles,ensembles,1,5224,toefl ielts gre
enshrine,in'ʃrain,"vt. 入庙祀奉, 铭记",d:enshrined/3:enshrines/i:enshrining/p:enshrined/s:enshrines,"enshrined,enshrinement,enshrines,enshrining",1,15992,gre
enshroud,in'ʃraud,"vt. 掩盖, 隐蔽",p:enshrouded/3:enshrouds/d:enshrouded/i:enshrouding,"enshrouded,enshrouding,enshrouds",,32544,
ensign,'ensain,"n. 旗, 海军少尉, 徽章",s:ensigns/3:ensigns,"ensigns,ensignship",1,21714,gre
enslave,in'sleiv,"vt. 奴役, 束缚, 使受控制, 征服",d:enslaved/i:enslaving/p:enslaved/3:enslaves,"enslaved,enslavement,enslaver,enslaves,enslaving",,14755,toefl gre
enslaved,enˈsleɪvd,v. 使成为奴隶( enslave的过去式和过去分词 ); 奴役; <正>使受控制; 征服,0:enslave/1:dp/d:enslaved/p:enslaved,enslavedness,,27191,
enslavement,in'sleivmәnt,"n. 使做奴隶, 使受制, 制服, 束缚, 征服, 奴役 / [法] 奴役, 征服, 盲从",,,,21763,
ensnare,in'snєә,"vt. 以陷阱捕捉, 诱入圈套, 诱捕",d:ensnared/3:ensnares/p:ensnared/i:ensnaring,"ensnared,ensnarement,ensnares,ensnaring",,22506,gre
ensue,en'su:,"vi. 跟着发生, 继起 / vt. 追求",p:ensued/3:ensues/d:ensued/i:ensuing,"ensuant,ensued,ensues,ensuing",1,9538,cet6 ielts gre
ensuing,,a. 接著发生的,i:ensuing/0:ensuing/1:i,,,9789,
ensure,in'ʃuә,"vt. 确定, 保证, 担保, 保护 / [经] 确保, 确定",i:ensuring/3:ensures/p:ensured/d:ensured,"ensured,ensurer,ensures,ensuring",4,1754,cet4 cet6 ky gre
entail,in'teil,"vt. 使成为必需, 需要, 使承担, 遗传给 / n. 限定继承",3:entails/p:entailed/d:entailed/i:entailing,"entailed,entailer,entailing,entailment,entails",1,6162,cet6 ky toefl ielts gre
entangle,in'tæŋgl,"vt. 使纠缠, 卷入, 使混乱",d:entangled/i:entangling/3:entangles/p:entangled,"entangled,entanglement,entangler,entangles,entangling",1,14257,toefl ielts gre
entangled,ɪnˈtæŋgld,"a. 卷入的; 陷入的; 被缠住的; 缠在一起的 / v. 使某人（某物/自己）缠绕, 纠缠于（某物中）, 使某人（自己）陷入（困难或复杂的环境中）( entangle的过去式和过去分词 )",0:entangle/1:dp/d:entangled,,,23074,
entanglement,in'tæŋglmәnt,"n. 纠缠, 卷入, 缠绕物 / [化] 缠结",s:entanglements,entanglements,,15426,toefl
enter,'entә,"vt. 进入, 参加, 开始, 输入, 回车 / vi. 进去, 参加 / [计] 输入, 回车",p:entered/d:entered/i:entering/3:enters,"enterable,enteral,entered,enterer,enteric,entering,enters",4,709,zk gk cet4 ky
enteric,en'terik,a. 肠的 / [医] 肠的,,enterics,,32022,
enterprise,'entәpraiz,"n. 企业, 事业心, 进取心, 干事业 / [计] 企业",s:enterprises,"enterpriser,enterprises,enterprising",3,2499,gk cet6 ky toefl ielts gre
enterprising,'entәpraiziŋ,"a. 有魄力的, 有进取心的, 有事业心的",,"enterprisingly,enterprisingness",,16208,toefl
entertain,.entә'tein,"vt. 娱乐, 招待, 怀抱 / vi. 款待",d:entertained/p:entertained/i:entertaining/3:entertains,"entertained,entertainer,entertaining,entertainment,entertains",3,4949,cet4 cet6 ky toefl
entertainer,.entә'teinә,"n. 表演娱乐节目的人, 演艺人员",s:entertainers,entertainers,1,8547,toefl
entertaining,.entә'teiniŋ,"a. 使人愉快的, 有趣的",0:entertain/1:i/i:entertaining,entertainingly,,6477,
entertainment,.entә'teinmәnt,"n. 娱乐, 款待, 娱乐表演",s:entertainments,entertainments,3,2350,gk cet4 cet6 ky toefl ielts
enthral,in'θrɔ:l,"vt. 迷住, 奴役, 使做奴隶, 吸引住",d:enthralled/p:enthralled/i:enthralling/3:enthrals,"enthralled,enthralling,enthralment,enthrals",1,0,toefl
enthrall,in'θrɒ:l,"vt. 迷惑, 奴役, 迷住",3:enthralls/i:enthralling/p:enthralled/d:enthralled,"enthralled,enthralling,enthrallment,enthralls",,16003,toefl gre
enthralling,in'θrɒ:liŋ,a. 迷人的,0:enthral/1:i,enthrallingly,,29034,gre
enthuse,in'θju:z,"vt. 使充满热情, 使感兴趣, 使热心 / vi. 热心",p:enthused/d:enthused/3:enthuses/i:enthusing/s:enthuses,"enthused,enthuses,enthusing",1,17459,
enthusiasm,in'θju:ziæzәm,"n. 巨大的热情, 热心",s:enthusiasms,enthusiasms,3,3716,cet4 cet6 ky toefl ielts
enthusiast,in'θju:ziæst,"n. 热心家, 狂热者, 爱好者",s:enthusiasts,"enthusiastic,enthusiasts",,8539,
enthusiastic,in.θju:zi'æstik,"a. 狂热的, 热心的, 热烈的",,,2,5508,gk cet4 cet6 ky ielts
enthusiastically,in.θju:zi'æstikli,"adv. 热心地, 狂热地",,,,10100,toefl
entice,in'tais,"vt. 诱骗, 引诱, 怂恿",d:enticed/i:enticing/p:enticed/3:entices,"enticeable,enticed,enticement,enticer,entices,enticing",1,9712,toefl gre
enticement,in'taismәnt,"n. 诱骗, 诱饵 / [法] 诱饵, 诱惑, 引诱物",s:enticements,enticements,,22829,
enticing,in'taisiŋ,"a. 引诱的, 迷人的 / [法] 诱惑的, 引诱的",0:entice/1:i/i:enticing,enticingly,,15241,
entire,in'taiә,"n. 整个, 全部 / a. 全体的, 完全的, 全部的",,"entirely,entireness",4,868,gk cet4 cet6 ky
entirely,in'taiәli,"adv. 完全, 全然, 一概",,,3,1858,
entirety,in'taiәti,"n. 全部, 整体 / [法] 共有制, 整体, 全部",,entireties,1,12896,gre
entitle,in'taitl,"vt. 给...权利, 取名为, 给予名称, 叫做 / [法] 给...权利, 使有资格, 称呼",d:entitled/3:entitles/p:entitled/i:entitling,"entitled,entitlement,entitles,entitling",3,3465,cet4 cet6 ky toefl ielts gre
entitled,in'taitld,a. 有资格的；给与名称的,0:entitle/1:dp,,,0,toefl
entitlement,,n. 权利 / [法] 权利,s:entitlements,entitlements,,7318,
entity,'entiti,"n. 实体, 实存物, 存在 / [计] 实体",s:entities,entities,2,3932,cet6 ky toefl ielts gre
entomb,in'tu:m,vt. 埋葬,d:entombed/p:entombed/3:entombs/i:entombing,"entombed,entombing,entombment,entombs",,24098,
entomologist,.entәmә'lɒdʒist,n. 昆虫学者 / [医] 昆虫学家,s:entomologists,entomologists,,15202,
entomology,.entә'mɒlәdʒi,n. 昆虫学 / [医] 昆虫学,,entomologies,,22993,
entourage,",ɔntu'rɑ:ʒ","n. 全体随行人员, 陪同人员",s:entourages,entourages,1,11325,gre
entrails,'entreilz,"pl. 内脏, 肠, (物体)内部 / [医] 脏腑",s:entrails/0:entrails/1:s,,,23605,
entrance,'entrәns,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任 / vt. 使出神, 使入迷 / [计] 入口",s:entrances/d:entranced/p:entranced/i:entrancing/3:entrances,"entranced,entrancement,entrances,entrancing",1,2877,gk cet4 cet6 ky toefl ielts gre
entranceway,"'entrәns,wei","n. 入口, 大门",s:entranceways,entranceways,,27419,
entrancing,'entrәnsiŋ,"a. 使人神魂颠倒的, 使人入神的, 令人欣喜的",0:entrance/1:i/i:entrancing,entrancingly,,43245,gre
entrant,'entrәnt,"n. 新会员, 新成员, 进入者",s:entrants,entrants,1,14110,
entrap,in'træp,"vt. 骗入, 诱捕, 使陷入",d:entrapped/p:entrapped/i:entrapping/3:entraps,"entrapment,entrapped,entrapping,entraps",,22164,toefl
entrapment,in'træpmәnt,"n. 诱捕, 使陷入罗网, 使陷入圈套, 使入陷阱, 使陷入困难, 诱使...妥协 / [化] 包埋; 截留",s:entrapments,entrapments,,20052,
entreat,in'tri:t,"v. 恳求, 乞求",p:entreated/d:entreated/i:entreating/3:entreats,"entreated,entreating,entreatment,entreats",,27532,cet6 ielts gre
entreaty,in'tri:ti,"n. 恳求, 乞求",s:entreaties,entreaties,,21942,gre
entree,'ɒntrei,"n. 入场许可, 主菜",s:entrees,entrees,,8922,
entrench,in'trentʃ,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位 / vi. 掘壕, 侵犯",d:entrenched/p:entrenched/i:entrenching/3:entrenches,"entrenched,entrenches,entrenching,entrenchment",1,13128,gre
entrenched,,"a. 牢固的, 根深蒂固的",0:entrench/1:dp/d:entrenched/p:entrenched,,,12651,toefl
entrenchment,in'trentʃmәnt,"n. 掘壕沟, 壕沟, 防卫工事",s:entrenchments,entrenchments,,30348,
entrepreneur,.ɒntrәprә'nә:,"n. 企业家, 主办人 / [经] 承包商, 企业家",s:entrepreneurs,"entrepreneurs,entrepreneurship",2,4279,cet6 ky toefl ielts gre
entrepreneurial,ˌɒntrəprə'nɜ:rɪəl,"a. 创业的, 具有企业精神的; 企业性质的",,"entrepreneurialism,entrepreneurially",1,8612,
entrepreneurship,",ɑntrəprə'nɝʃɪp",企业家能力/职能; 企业家[主办人等]的身份[地位、职权、能力],,,,14223,
entropy,'entrәpi,n. 熵 / [计] 熵,s:entropies,entropies,,19607,
entrust,in'trʌst,"vt. 信托, 交托, 委托 / [经] 委托",d:entrusted/p:entrusted/i:entrusting/3:entrusts,"entrusted,entrusting,entrustment,entrusts",1,10414,gre
entry,'entri,"n. 登录, 条目, 进入, 入口, 报关 / [计] 登录项, 输入项, 条目",s:entries,"entries,entryist",4,2338,gk cet4 cet6 ky toefl ielts gre
entryway,"'entri,wei",n. 入口通道,,entryways,,16421,
entwine,in'twain,"v. (使)缠住, (使)盘绕, (使)纠缠",p:entwined/d:entwined/i:entwining/3:entwines,"entwined,entwinement,entwines,entwining",,16912,gre
entwined,enˈtwaɪnd,"v. 缠绕, 盘绕( entwine的过去式和过去分词 )",0:entwine/1:pd/d:entwined/p:entwined,,,29954,
enumerate,i'nju:mәreit,"vt. 列举, 计算, 枚举, 数 / [法] 举出, 列举, 枚举",d:enumerated/i:enumerating/3:enumerates/p:enumerated,"enumerated,enumerates,enumerating,enumerative,enumerator",,15043,toefl gre
enumeration,i.nju:mә'reiʃәn,"n. 计算, 列举, 细目 / [法] 列举事实, 一览表",s:enumerations,enumerations,,25584,
enunciate,i'nʌnsieit,"vt. 明确地叙述, 表明 / vi. 发音",d:enunciated/p:enunciated/i:enunciating/3:enunciates,"enunciated,enunciates,enunciating,enunciative,enunciator",,16845,toefl gre
enunciation,i.nʌnsi'eiʃәn,"n. 说明, 发音, 宣布",s:enunciations,enunciations,,26448,
envelop,in'velәp,"vt. 包封, 遮盖, 包围 / n. 信封",d:enveloped/p:enveloped/i:enveloping/3:envelops,"enveloped,enveloping,envelopment,envelops",1,10650,toefl
envelope,'envәlәup,"n. 信封, 封套, 封袋 / [医] 膜, 包袋",s:envelopes/3:envelopes,"enveloped,envelopes,enveloping,envelopment",2,3879,gk cet4 cet6 ky
enveloping,enˈveləpɪŋ,"v. 包围, 笼罩, 包住( envelop的现在分词 )",0:envelop/1:i/i:enveloping,,,31624,
enviable,'enviәbl,"a. 令人羡慕的, 可羡慕的",,enviableness,1,17454,
envious,'enviәs,"a. 嫉妒的, 羡慕的",,"enviously,enviousness",1,15366,cet6
enviously,'enviәsli,adv. 羡慕地,,,,31850,
environ,in'vaiәrәn,"vt. 包围, 环绕",d:environed/i:environing/p:environed/3:environs,"environal,environed,environing,environist,environment,environs",,0,gre
environment,in'vairәnmәnt,"n. 环境, 外界, 围绕 / [计] 环境",s:environments,"environmental,environments",4,855,zk gk cet4 cet6 ky ielts
environmental,in.vaiәrәn'mentәl,"a. 周围的, 环境的 / [经] 环境的, 环保的",,"environmentalism,environmentalist,environmentally",4,819,cet6 ielts
environmentalism,"in,vaiәrәn'mentlizm","n. 环境保护论, 环境论",,,,15853,
environmentalist,"in,vaiәrәn'mentlist",n. 环保人士,s:environmentalists,"environmentalistic,environmentalists",2,5444,
environmentally,,adv. 有关环境方面,,,,6754,
environs,in'vaiәrәnz,"n. 市郊, 郊外",s:environs/0:environs/1:s,,,16512,gre
envisage,in'vizidʒ,"vt. 面对, 正视, 想象",d:envisaged/p:envisaged/3:envisages/i:envisaging,"envisaged,envisagement,envisages,envisaging",2,16510,cet6 ky ielts gre
envision,in'viʒәn,"vt. 想象, 预想",d:envisioned/p:envisioned/3:envisions/i:envisioning,"envisioned,envisioning,envisions",1,4483,toefl gre
envoy,'envɒi,"n. 外交使节, 特使 / [法] 使者, 代表, 使节",s:envoys,"envoys,envoyship",2,9956,toefl
envy,'envi,"n. 羡慕, 嫉妒 / vt. 羡慕, 嫉妒",p:envied/d:envied/i:envying/3:envies/s:envies,"enviable,envied,envier,envies,envious,envision,envying",2,8491,gk cet4 cet6 ky ielts
enzymatic,.enzai'mætik,a. 酶的 / [医] 酶的,,,,31775,
enzyme,'enzaim,n. 酶 / [化] 酶,s:enzymes,"enzymes,enzymic",2,7064,toefl ielts gre
eon,'i:әn,"n. 永世, 万古",s:eons,"eonism,eons",,17054,
eosinophil,",i:әu'sinәfil","[医] 嗜曙红细胞, 嗜酸性细胞",s:eosinophils/3:eosinophils,"eosinophilic,eosinophilous,eosinophils",,23977,
ep,,abbr. EP盘唱片（extended-play record）,,"epic,eps",1,0,
epaulet,'epәlet,"n. 肩章, 肩饰",s:epaulets,"epauleted,epaulets,epauletted",,30362,gre
ephedra,i'fedrә,[化] 麻黄,,,,28287,
ephedrine,i'fedrin,n. 麻黄素 / [化] 麻黄碱; 麻黄素,,,,31867,
ephemera,i'femәrә,"n. 生命短促的人(或物), 蜉蝣",,ephemeras,,26972,
ephemeral,i'femәrәl,"a. 朝生暮死的, 短命的, 短暂的 / [医] 暂时的",s:ephemerals,"ephemerality,ephemerally,ephemeralness,ephemerals",,14116,toefl ielts gre
epic,'epik,"n. 史诗, 叙事诗 / a. 史诗的, 叙事诗的",s:epics,"epical,epicist,epics",2,8602,toefl gre
epicenter,'episentә,"n. 震中, 中心",,,,16896,
epicure,'epi.kjuә,"n. 美食家, 讲究饮食的人",,"epicures,epicurism",,43349,gre
epicurean,.epikju'ri:әn,"n. 享乐主义者, 美食家 / a. 贪口福的, 享乐主义的",,"epicureanism,epicureans",,32071,gre
epidemic,.epi'demik,"n. 传染病, 流行病 / a. 流行的, 传染性的",s:epidemics,"epidemical,epidemicity,epidemics",2,4919,cet6 ky toefl ielts gre
epidemiologic,,a. 流行病学,,epidemiological,,23187,
epidemiological,,a. 流行病学,,epidemiologically,,15885,
epidemiologist,"'epi,di:mi'ɔlәdʒist",n. 流行病学家,s:epidemiologists,epidemiologists,,15563,
epidemiology,",epi,di:mi'ɔlәdʒi","n. 传染病学, 流行病学 / [医] 流行病学",,,,14950,
epidermal,",epi'd\\\\:mәl",a. 表皮的 / [医] 表皮的,,,,29274,
epidermis,.epi'dә:mis,"n. 表皮, (昆虫的)真皮 / [医] 表皮",,,,24661,toefl gre
epidural,",epi'djuәrәl",[医] 硬膜外的,s:epidurals,epidurals,,28907,
epigram,'epigræm,"n. 警句, 讽刺短诗",s:epigrams,epigrams,,36427,gre
epigraph,'epigræf,"n. 碑文, 题铭, 题词",s:epigraphs,"epigrapher,epigraphic,epigraphist,epigraphs",,25792,
epilepsy,'epilepsi,n. 癫痫症 / [医] 癫痫(羊痫疯),,epilepsies,1,18591,
epileptic,.epi'leptik,"a. 癫痫的, 癫痫性的 / n. 癫痫患者",s:epileptics,epileptics,,25147,
epilogue,'epilɒg,"n. 结语, 尾声, 收场白 / [计] 收尾程序",s:epilogues,epilogues,,21855,gre
epinephrine,",epi'nefrin, -ri:n",n. 肾上腺素 / [化] 肾上腺素,,,,27691,
Epiphany,i'pifәni,"n. 主显节, 出现",s:epiphanies,epiphanies,,12680,
epiphyte,'epifait,"n. 附生植物 / [医] 附生植物, 体表寄生菌",s:epiphytes,"epiphytal,epiphytes,epiphytic,epiphytism",,32560,
episcopal,i'piskәpәl,"a. 主教的, 主教制度的, 英国国教的",,"episcopalism,episcopally",,7922,
episcopalian,i.piskә'peiljәn,"a. 主教制度的, 主教的 / n. 主教派的人, 主教派会员, 美国圣公会教徒",s:episcopalians,"episcopalianism,episcopalians",,22881,
episcopate,i'piskәpit,"n. 主教之职, 主教区, 主教",s:episcopates,"episcopated,episcopates,episcopating",,32396,
episode,'episәud,"n. 插曲, 插话, 有趣的事件, 一段情节 / [医] 插话, 插曲, 发作",s:episodes,"episodes,episodic",2,2846,cet4 cet6 ky toefl ielts gre
episodic,.epi'sɒdik,a. 插曲似的,,episodical,,18428,gre
epistaxis,",epi'stæksis",n. 鼻衄 / [医] 鼻出血,,,,31801,
epistemic,",epi'sti:mik",a. 认识的,,,,24397,
epistemological,",episti(:)mә'lɔdʒikәl",a. 认识论的,,epistemologically,,13542,
epistemology,i.pisti:'mɒlәdʒi,n. 认识论 / [医] 认识论,s:epistemologies,epistemologies,,16456,
Epistle,i'pisl,n. 书信,s:epistles,"epistler,epistles",,25162,
epistolary,i'pistәlәri,"a. 书信的, 用书信进行的, 书信体的",,,,28210,
epitaph,'epitɑ:f,"n. 墓志铭, 碑文",s:epitaphs,"epitapher,epitaphic,epitaphist,epitaphs",,19769,gre
